id,political,not_political,title,message,thumbnail,created_at,updated_at,lang,images,impressions,political_probability,targeting,suppressed,targets,advertiser,entities,page,lower_page,targetings,paid_for_by,targetedness,listbuilding_fundraising_proba,page_id
hyperfeed_story_id_5cb4e0846b17c3c79697913,2,0,Bernie Sanders,"<p><span class=""_5mfr""><span class=""_6qdm"">🚨</span></span><span class=""_5mfr""><span class=""_6qdm"">🚨</span></span><span class=""_5mfr""><span class=""_6qdm"">🚨</span></span>We are facing the first billionaire-funded attacks of the campaign from the ironically named Center for American Progress.  Now we need your help to fight back. Make a donation to our campaign today. <span class=""_5mfr""><span class=""_6qdm"">🚨</span></span><span class=""_5mfr""><span class=""_6qdm"">🚨</span></span><span class=""_5mfr""><span class=""_6qdm"">🚨</span></span></p><p> Who funds the Center for American Progress</p><p> <span class=""_5mfr""><span class=""_6qdm"">🔵</span></span>Corporate Executives and Wall Street<span class=""text_exposed_hide"">...</span><span class=""text_exposed_show""><br> <span class=""_5mfr""><span class=""_6qdm"">🔵</span></span>Pharmaceutical lobbyists<br> <span class=""_5mfr""><span class=""_6qdm"">🔵</span></span>Insurance lobbyists<br> <span class=""_5mfr""><span class=""_6qdm"">🔵</span></span>Fossil Fuel lobbyists<br> <span class=""_5mfr""><span class=""_6qdm"">🔵</span></span>The United Arab Emirates while that country was bombing innocent civilians in Yemen a war Bernie has led the fight to end.</span></p><p> Is it any wonder our campaign is a target Chip in to help us fight back today.</p>",https://pp-facebook-ads.s3.amazonaws.com/v/t1.0-1/p50x50/52173492_2146010305453962_8056941898029334528_n.jpg,2019-04-15 19:50:42.464648+00,2019-05-08 19:12:37.958547+00,en-US,{https://pp-facebook-ads.s3.amazonaws.com/v/t45.1600-4/cp0/q90/spS444/c1.0.1198.628a/s526x296/57593150_23843401353770308_5641002646337748992_n.png.jpg},1,0.999996952629043,,f,[],,"[{""entity"": ""Corporate Executives"" ""entity_type"": ""Organization""} {""entity"": ""The United Arab Emirates"" ""entity_type"": ""Region""} {""entity"": ""the Center for American Progress"" ""entity_type"": ""Organization""} {""entity"": ""Fossil Fuel"" ""entity_type"": ""Person""} {""entity"": ""Center for American Progress"" ""entity_type"": ""Organization""} {""entity"": ""Bernie"" ""entity_type"": ""Organization""} {""entity"": ""Yemen"" ""entity_type"": ""Region""}]",https://www.facebook.com/berniesanders/,https://www.facebook.com/berniesanders/,,Bernie 2020.,,1.00000097272277,
hyperfeed_story_id_5cb0fe473e9cf1166669251,1,4,National Audubon Society,<p>Adopt a Ruby-throated Hummingbird this month in honor of Earth Day. When you adopt this one of a kind bird you not only help support Audubon’s mission to protect birds and their habitats but you’ll also receive a plush bird and certificate of adoption with your gift.</p>,https://pp-facebook-ads.s3.amazonaws.com/v/t1.0-1/p200x200/36915077_10155851270734007_6877229551366176768_n.png,2019-04-12 21:08:38.47107+00,2019-05-18 17:45:35.17799+00,en-US,{https://pp-facebook-ads.s3.amazonaws.com/v/t45.1600-4/cp0/q90/spS444/c15.0.1145.600a/s526x296/56892060_6120895711385_6401899013842403328_n.png.jpg},1,0.753770870899113,,f,[],,"[{""entity"": ""Earth Day"" ""entity_type"": ""Location""} {""entity"": ""Audubon"" ""entity_type"": ""Person""} {""entity"": ""Hummingbird"" ""entity_type"": ""Region""}]",https://www.facebook.com/NationalAudubonSociety/,https://www.facebook.com/nationalaudubonsociety/,,National Audubon Society,,0.318205609917641,
hyperfeed_story_id_5cb102fe915d86e56531469,0,0,Mike Johnston,<p>Colorado signatures needed: Trump is trying to defund organizations like Planned Parenthood.</p><p> If you want a Senate that fights for reproductive health care add your name.</p>,https://pp-facebook-ads.s3.amazonaws.com/v/t1.0-1/p50x50/51726514_1681009555334335_8674981726214160384_n.jpg,2019-04-12 21:29:11.002336+00,2019-04-12 21:29:11.002336+00,en-US,{https://pp-facebook-ads.s3.amazonaws.com/v/t45.1600-4/cp0/q90/spS444/p180x540/56330891_23843296636990503_3658498231299473408_n.png.jpg},1,0.999967462626754,,f,[],,"[{""entity"": ""Colorado"" ""entity_type"": ""Region""} {""entity"": ""Planned Parenthood"" ""entity_type"": ""Organization""} {""entity"": ""Senate"" ""entity_type"": ""Organization""}]",https://www.facebook.com/MikeJohnstonCO/,https://www.facebook.com/mikejohnstonco/,,Mike Johnston for Senate,,0.422258868813515,
hyperfeed_story_id_5cb1030feda907150482796,0,0,Jay Inslee,<p>Let’s ensure Jay’s climate change message is in the spotlight of the debates. Give just $1 to be one of our 65000 grassroots donors!</p>,https://pp-facebook-ads.s3.amazonaws.com/v/t1.0-1/p50x50/54419138_10157156172203466_3735169178559053824_n.jpg,2019-04-12 21:29:48.852406+00,2019-04-12 21:29:48.852406+00,en-US,{https://pp-facebook-ads.s3.amazonaws.com/v/t45.1600-4/cp0/q90/spS444/c2.0.1197.627a/s526x296/55901702_23843268278220394_5885479177032826880_n.png.jpg},1,0.999768111360731,,f,[],,"[{""entity"": ""Jay"" ""entity_type"": ""Person""}]",https://www.facebook.com/jayinslee/,https://www.facebook.com/jayinslee/,,INSLEE FOR AMERICA,,0.999986627692124,
hyperfeed_story_id_5cb3b3a32c8692251646755,1,2,Build Gateway Coalition,<p>One crumbling tunnel is wreaking havoc on over a million commutes each week. It’s time to build the Gateway Tunnel. Sign up to learn more.</p>,https://pp-facebook-ads.s3.amazonaws.com/v/t1.0-1/p32x32/43163340_2035310610062856_5047338638753398784_n.png,2019-04-14 22:27:07.945735+00,2019-04-15 01:43:26.223545+00,en-US,{https://pp-facebook-ads.s3.amazonaws.com/v/t45.1600-4/cp0/q90/spS444/c0.0.1100.627a/s552x414/54462251_23843194215200014_5977207867315322880_n.png.jpg},1,0.950438171396334,,f,[],,"[{""entity"": ""the Gateway Tunnel"" ""entity_type"": ""Organization""}]",https://www.facebook.com/buildgatewaynow/,https://www.facebook.com/buildgatewaynow/,,Regional Plan Association,,0.594512348994613,
hyperfeed_story_id_5cb4ed545872b2673409914,0,0,Bird + Stone,"<p>Now we're back fighting for women's health. It's more important than ever to stand up and protect it for all future females. Worn by Madam Secretary CNN's Brooke Baldwin Ava DuVernay.</p><p>  <span class=""_5mfr""><span class=""_6qdm"">✊</span></span> Each Future Is Female Cuff Donates $5 To Planned Parenthood. <br> <span class=""_5mfr""><span class=""_6qdm"">✊</span></span> Use ""Bird15"" for 15% off. <br> <span class=""_5mfr""><span class=""_6qdm"">✊</span></span> Handmade in the USA <span class=""_5mfr""><span class=""_6qdm"">🇺🇸</span></span><span class=""text_exposed_hide"">...</span><span class=""text_exposed_show""><br> <span class=""_5mfr""><span class=""_6qdm"">✊</span></span> Together we've raised over $10K!</span></p>",https://pp-facebook-ads.s3.amazonaws.com/v/t1.0-1/c0.0.112.112a/p112x112/11693959_890465241041596_5865331222848222107_n.png,2019-04-15 20:45:18.084479+00,2019-04-15 20:45:18.084479+00,en-US,{https://pp-facebook-ads.s3.amazonaws.com/v/t45.1600-4/cp0/q90/spS444/c2.0.2044.1071a/s526x296/17508971_6069102391738_6778392819057819648_n.png.jpg},1,0.983039210788354,,f,[],,"[{""entity"": ""CNN"" ""entity_type"": ""Organization""} {""entity"": ""Planned Parenthood"" ""entity_type"": ""Organization""} {""entity"": ""Brooke Baldwin"" ""entity_type"": ""Person""} {""entity"": ""Ava DuVernay"" ""entity_type"": ""Person""} {""entity"": ""Handmade"" ""entity_type"": ""Person""}]",https://www.facebook.com/birdandstone/,https://www.facebook.com/birdandstone/,,Bird + Stone ,,0.223886799067259,
hyperfeed_story_id_5cb3b475bf0445934533758,3,0,Washington Environmental Council,"<p>Contact your legislators today and tell them to take action on climate change and stand up for a clean energy future for Washington's cleaner healthier future.</p><p> TAKE ACTION &gt;&gt; <a href=""https://wagreen.p2a.co/Dp9m7Wo"">https://wagreen.p2a.co/Dp9m7Wo</a></p>",https://pp-facebook-ads.s3.amazonaws.com/v/t1.0-1/p50x50/1454806_10151991582863545_1552142756_n.jpg,2019-04-14 22:30:21.901931+00,2019-04-15 01:42:46.627797+00,en-US,{https://pp-facebook-ads.s3.amazonaws.com/v/t15.5256-10/55927801_410502819526749_6793431097288949760_n.jpghttps://pp-facebook-ads.s3.amazonaws.com/v/t15.5256-10/55927801_410502819526749_6793431097288949760_n.jpghttps://pp-facebook-ads.s3.amazonaws.com/rsrc.php/v3/y4/r/-PAXP-deijE.gif},1,0.994326972844626,,f,[],,"[{""entity"": ""Washington"" ""entity_type"": ""Region""}]",https://www.facebook.com/wecprotects/,https://www.facebook.com/wecprotects/,,Washington Environmental Council,,0.329496731515974,
hyperfeed_story_id_5cf163395732b0198774396,0,0,Planned Parenthood Action,"<p><span class=""_5mfr""><span class=""_6qdm"">⚡</span></span>BREAKING: Another extreme abortion ban bill just passed this time in Missouri <span class=""_5mfr""><span class=""_6qdm"">⚡</span></span></p><p> <span class=""_5mfr""><span class=""_6qdm"">3️⃣</span></span><span class=""_5mfr""><span class=""_6qdm"">6️⃣</span></span> states have introduced abortion bans in the first 5 months of 2019 *alone*. It’s not a coincidence: Anti-abortion forces are trying to ban abortion altogether by overturning Roe v. Wade.</p><p> This is an all out assault on Roe and our right to safe legal abortion. Are you ready to fight back</p>",https://pp-facebook-ads.s3.amazonaws.com/v/t1.0-1/p32x32/49175100_10156142401059639_2091577587716325376_n.png,2019-05-31 17:24:24.145482+00,2019-05-31 17:24:24.145482+00,en-US,{https://pp-facebook-ads.s3.amazonaws.com/v/t15.5256-10/60342311_2462724070427683_8389390757789696000_n.jpghttps://pp-facebook-ads.s3.amazonaws.com/v/t15.5256-10/60342311_2462724070427683_8389390757789696000_n.jpghttps://pp-facebook-ads.s3.amazonaws.com/rsrc.php/v3/y4/r/-PAXP-deijE.gifhttps://pp-facebook-ads.s3.amazonaws.com/rsrc.php/v3/yU/r/u7XTTygYX3C.pnghttps://pp-facebook-ads.s3.amazonaws.com/rsrc.php/v3/yU/r/u7XTTygYX3C.png},1,0.999998185401009,,f,[],,"[{""entity"": ""Missouri"" ""entity_type"": ""Region""} {""entity"": ""Roe"" ""entity_type"": ""Law""} {""entity"": ""Anti"" ""entity_type"": ""Organization""} {""entity"": "" 3️⃣6️⃣"" ""entity_type"": ""Organization""} {""entity"": ""Roe v. Wade"" ""entity_type"": ""Law""}]",https://www.facebook.com/PlannedParenthoodAction/,https://www.facebook.com/plannedparenthoodaction/,,Planned Parenthood Action Fund.,,0.999670723074814,
hyperfeed_story_id_5cf164ec15cd03800166789,0,0,Pete Buttigieg,<p>We are running a different type of campaign. We won't fill your inbox with made-up deadlines or alarmist language.</p><p> Instead we are going to be honest and upfront about what it will take to build an organization that can compete for every vote.</p><p> Please sign up to join our team and let's get to work!</p>,https://pp-facebook-ads.s3.amazonaws.com/v/t1.0-1/p112x112/56973994_2377725148913833_1430644376412880896_n.jpg,2019-05-31 17:31:38.69813+00,2019-05-31 17:31:38.69813+00,en-US,{https://pp-facebook-ads.s3.amazonaws.com/v/t15.5256-10/59397201_2269531039977579_5320053978124255232_n.jpghttps://pp-facebook-ads.s3.amazonaws.com/v/t15.5256-10/59397201_2269531039977579_5320053978124255232_n.jpghttps://pp-facebook-ads.s3.amazonaws.com/rsrc.php/v3/y4/r/-PAXP-deijE.gifhttps://pp-facebook-ads.s3.amazonaws.com/rsrc.php/v3/y3/r/4N9ilp25Agv.pnghttps://pp-facebook-ads.s3.amazonaws.com/rsrc.php/v3/y3/r/4N9ilp25Agv.png},1,0.995707586562494,,f,[],,[],https://www.facebook.com/petebuttigieg1/,https://www.facebook.com/petebuttigieg1/,,Pete for America,,0.293422206304967,
hyperfeed_story_id_5cb0929fa7a2e7032477555,0,0,Haven of Rest Ministries AkronOH,"<p>You can give new hope to men women and children trapped on the streets. Your support will ensure hundreds of homeless and hungry neighbors receive food shelter clothing and transformation this Easter season. Please be generous and change lives with us today! <a href=""http://donate.havenofrest.org/"">donate.havenofrest.org</a></p>",https://pp-facebook-ads.s3.amazonaws.com/v/t1.0-1/p112x112/20407_10153551647659742_3068570478574161776_n.png,2019-04-12 13:29:15.000705+00,2019-04-12 13:29:15.000705+00,en-US,{https://pp-facebook-ads.s3.amazonaws.com/v/t45.1600-4/cp0/q90/spS444/c0.0.1200.629a/s526x296/52931597_23843242978860716_8411730613568012288_n.png.jpg},1,0.922417100308269,,f,[],,[],https://www.facebook.com/havenofrest.org/,https://www.facebook.com/havenofrest.org/,,Haven of Rest,,0.999947169417283,
